raw_normalized,exemplo_bruto,qtd_instalacoes,soma_kw,pct_do_total_kw,correcao_marca
DAH SOLAR,DAH SOLAR,3750,31568.31,0.0625449632361491,
RENOVIGI B B POWER SOLIS,RENOVIGI/B&B POWER. SOLIS,810,24048.49,0.04764626053579996,
RISEN,RISEN,1171,23069.2,0.045706034497487225,
INVERSOR,INVERSOR,455,23000.39,0.04556970414213151,
ELSYS,155 - ELSYS,3504,20946.26,0.041499942874193146,
DAH,DAH,2226,19260.52,0.03816005720005646,
LEVEROS,185 - LEVEROS,2203,18731.82,0.03711256615403746,
JINKO,JINKO,2574,18716.56,0.037082332158648305,
NINGBO GINLONG,Ningbo Ginlong,571,18357.95,0.036371833267003,
TECH POWER,TECH POWER,2671,15984.14,0.03166870347704582,
SMA SOLAR,SMA SOLAR,312,15797.83,0.03129957531970933,
POWER ONE,Power-One,1787,15007.66,0.02973404477340173,
FREESUN,Freesun ,285,13867.76,0.02747560890550489,
HYXIPOWER,Hyxipower,2309,13713.72,0.027170415940252823,
EDGE,EDGE,461,13328.6,0.02640739390196488,
AUXISOL,AUXISOL,2185,12666.87,0.02509633611894587,
TRINA SOLAR,TRINA SOLAR,760,12326.45,0.02442187630830507,
EAST,EAST,1447,11792.0,0.023362993029423185,
JA SOLAR,JA SOLAR,888,11717.37,0.023215131753152336,
OMNIK,OMNIK,1289,11407.82,0.022601833373551084,
AFORE,AFORE,974,11405.82,0.02259787085777269,
GENERAL ELETRIC,GENERAL ELETRIC,307,10744.42,0.02128746688985711,
JINKO SOLAR,JINKO SOLAR,1113,10650.35,0.02110108996022025,
SMA SOLAR TECHNOLOGY,7 - SMA SOLAR TECHNOLOGY,397,10041.74,0.01989527659627544,
OSDA,OSDA,1380,10004.39,0.01982127661411389,
INVT,INVT,439,9853.29,0.01952190854705607,
TRINA,TRINA,799,9551.14,0.018923271475834884,
WDC,WDC,1602,9412.73,0.018649045571390986,
NAO IDENTIFICADO,Não_Identificado,1473,9313.07,0.018451593410153507,
CPS,CPS|,187,9049.26,0.01792891776640418,
PROJETOS PARTICULARES,119 - PROJETOS PARTICULARES,1440,8648.55,0.017135007917623634,
RENO,RENO,870,8641.72,0.01712147592624041,
ERA SOLAR,ERA SOLAR,1002,8342.6,0.016528842066423494,
CPS SCH250 275KTL DO EU,1649 - CPS SCH250/275KTL-DO/EU,3,8000.0,0.01585006311358425,
BELENERGY PLUS,BELENERGY PLUS,1067,7845.02,0.015543007765916342,
SOLAR,SOLAR,472,7712.93,0.015281303411332173,
NAO INF,NÃO INF,8,7430.98,0.014722687749472784,
FAB INVERSOR,fab inversor,951,7364.99,0.014591944541364607,
B B,B&B,829,7271.95,0.014407608307353622,
ELETROSUN,ELETROSUN,570,7221.5,0.014307653846843583,
SUNNY HIGHPOWER,Sunny Highpower,74,7125.0,0.014116462460535972,
BELENERGY ENERGIA SOLAR,BELENERGY ENERGIA SOLAR,938,7037.77,0.01394363733486123,
SCHNEIDER ELECTRIC,Schneider Electric ,607,7027.87,0.013924022881758166,
SERRANA,SERRANA,702,6734.78,0.013343336007013118,
SHENZHEN SOFARSOLAR CO,Shenzhen SOFARSOLAR Co +,303,6726.16,0.01332625756400823,
SOLAR ENERGY,Solar Energy,313,6582.66,0.013041947056908313,
SENERGY,SENERGY,623,6214.03,0.01231159596121324,
SUNOVA,SUNOVA,799,6213.75,0.012311041209004267,
REFU ELEKTRONIK GMBH,REFU Elektronik GmbH,210,6057.92,0.012002301792130538,
SUNNY,SUNNY,150,6024.75,0.011936583467945839,
GENERAL ELECTRIC,GENERAL ELECTRIC,257,5688.46,0.011270306252387433,
AE SOLAR,AE SOLAR,649,5602.27,0.011099541634917456,
WEQ,WEQ,376,5416.04,0.010730571978212105,
TAURO ECO 100 P,1305 - TAURO ECO 100-P,4,5400.0,0.01069879260166937,
CANDIAN SOLAR,CANDIAN SOLAR,159,5371.16,0.010641653124144898,
AUSENTE,AUSENTE,310,5334.35,0.01056872302124352,
INVERSOR SOLAR,INVERSOR SOLAR,347,5231.23,0.010364415707709417,
GE SOLAR,214 - GE SOLAR,440,5153.85,0.010211105972243274,
HUAWEII HUAWEII,"HUAWEII,HUAWEII",2,5061.0,0.010027146177231237,
SHENZHEN SOFARSOLAR CO LTD,"Shenzhen SOFARSOLAR Co, Ltd",6,5042.6,0.009990691032069992,
HUAWER,HUAWER,5,5039.01,0.009983578316247773,
VERIFICAR,Verificar,3,5000.0,0.009906289445990157,
STI,STI,1,5000.0,0.009906289445990157,
SOLIS RENOVIGI,SOLIS RENOVIGI,261,4963.91,0.009834785848769,
MOSO,MOSO,444,4888.99,0.009686350007710282,
REFU ELEKTRONIK,REFU Elektronik,236,4782.76,0.009475880982140777,
HCC,HCC,675,4760.37,0.009431520618001631,
STRING,STRING,260,4749.76,0.009410499471797241,
BONFIGLIOLI,Bonfiglioli ,87,4623.0,0.009159355221762498,
R5 6K S2 15,R5-6K-S2-15,761,4586.78,0.009087594061015745,
GROWATT DEYE,GROWATT / DEYE,302,4546.58,0.009007947493869985,
INVERSOR HAUWEI MICROINVERSOR,Inversor: HAUWEI; Microinversor:,3,4500.0,0.008915660501391141,
CHINTPOWER,CHINTPOWER,233,4480.24,0.008876510845500587,
HUAWAI,HUAWAI,67,4480.05,0.00887613440650164,
KACO NEW ENERGY,Kaco New Energy ,145,4475.53,0.008867179120842464,
REFUONE,REFUONE,643,4413.32,0.008743925067555454,
INVERSOR MICRO INVERSOR,Inversor: ; Micro Inversor:,511,4407.71,0.008732810210797054,
RENOVIGI SOLIS,RENOVIGI  SOLIS,222,4375.94,0.008669865647657232,
SOFARSOLAR CO LTD,"SOFARSOLAR Co., Ltd.",654,4375.78,0.008669548646394961,
LEDVANCE,217 - LEDVANCE,579,4362.43,0.008643098853574168,
EACH,EACH,460,4311.75,0.008542688703749612,
SOL PLANET,SOL PLANET,473,4295.2,0.008509898885683384,
SOLAR MAXX TECH,SOLAR MAXX TECH,724,4268.96,0.008457910678670829,
OMNIKSOL,20 - OMNIKSOL,301,4226.72,0.008374222345431103,
HOPESUN,165 - HOPESUN,207,4132.66,0.008187865228373135,
SUNNY TRIPOWER,Sunny Tripower,63,4123.41,0.008169538592898054,
HONOR SOLAR,HONOR SOLAR,609,4120.83,0.008164426947543922,
ALDO SOLAR,ALDO SOLAR,441,4103.65,0.0081303889370075,
LONGI,LONGI,413,4076.55,0.008076696848210234,
8000MTL S,8000MTL-S,482,3938.86,0.007803897449446558,
SIW500H,SIW500H,14,3904.6000000000004,0.0077360195541626335,
FRONIUS GROWATT,FRONIUS GROWATT,145,3892.71,0.0077124623978600685,
RENOVIG,RENOVIG,393,3889.41,0.0077059242468257155,
HAWEI,HAWEI,45,3865.4500000000003,0.007658453307800531,
FILMER,FILMER,4,3840.0,0.007608030294520441,
DAYE,DAYE/,518,3828.7599999999998,0.007585760955845853,
JSL COMERCIO DE CORREIAS LTDA ME,14 - JSL COMÉRCIO DE CORREIAS LTDA ME,487,3721.76,0.007373766361701665,
VERTYS,VERTYS |,434,3702.77,0.007336142274385794,
K STAR,K STAR,125,3667.4700000000003,0.007266203870897103,
HONOR,HONOR,518,3641.69,0.007215127042513579,
GINLONG TECHNOLOGIES,GINLONG TECHNOLOGIES,150,3619.14,0.007170449677112162,
UNDEFINED,undefined,27,3470.12,0.006875202626463872,
FOX,FOX,472,3466.34,0.006867713471642704,
SUNGROW FRONIUS,"SUNGROW, FRONIUS|",57,3423.48,0.006782796758511677,
IMPERIUM,IMPERIUM,294,3399.05,0.006734394628278568,
FRONIUS SUNGROW,FRONIUS/SUNGROW,47,3395.21,0.006726786597984048,
NAO ENCONTRADO,não encontrado,199,3299.67,0.006537497219250068,
MAX 75KTL3 XL2,MAX 75KTL3-XL2,43,3251.4,0.0064418619009384784,
1XGROWATT,1XGROWATT//,123,3219.68,0.006379016400693117,
LEAPTON,LEAPTON,421,3203.49,0.0063469398354670005,
R5 5K S2 15,R5-5K-S2-15,642,3136.14,0.006213502116629513,
SHENZEN,shenzen,168,3129.71,0.00620076262840197,
INGECON,INGECON,38,3126.61,0.006194620728945457,
AMERISOLAR,AMERISOLAR,326,3109.71,0.0061611374706180095,
CENTRAL SOLAR,CENTRAL SOLAR,363,3035.59,0.006014286635870653,
SHENZHEN SOFARSOLAR,Shenzhen SOFARSOLAR,115,3027.0,0.005997267630602441,
PAINEL NAO IDENTIFICADO,PAINEL NAO IDENTIFICADO,390,3019.81,0.005983022386379107,
SOLIS SOLPLANET,SOLIS|SOLPLANET,22,3008.91,0.005961426675386848,
R6 10K S3,R6-10K-S3,286,3005.26,0.005954195084091275,
PHBSOLAR,PHBSOLAR,286,2988.26,0.005920513699974909,
SOLIS DEYE,SOLIS|DEYE|,164,2956.75,0.005858084263886279,
BALFAR,BALFAR,122,2945.49,0.005835775300053909,
HUWAEI,HUWAEI,196,2926.9,0.0057989437158937176,
RISEN SOLAR,Risen Solar,288,2920.45,0.00578616460250839,
SCHNEIDER,SCHNEIDER,78,2919.9300000000003,0.005785134348406008,
DEYE SOLIS,DEYE / SOLIS,100,2877.0,0.005700078947222736,
ENGIN,ENGIN,134,2862.98,0.00567230171161618,
ECO SOLYS,ECO SOLYS,370,2830.83,0.005608604270478462,
JNG,JNG,289,2675.49,0.0053008356699704405,
ASTRONERGY,ASTRONERGY,300,2623.51,0.005197849884889928,
GROWATT SOLIS,GROWATT / SOLIS,92,2622.32,0.005195492188001782,
SUNNY BOY SMA SOLAR,247 - SUNNY BOY SMA SOLAR,19,2589.1,0.005129674800922622,
INVERSOR GROWAT MICRO INVERSOR,Inversor: GROWAT; Micro Inversor:,352,2543.97,0.005040260632383115,
SUN2000 100KTL H,SUN2000-100KTL-H,1,2500.0,0.004953144722995078,
HAUWEI HAUWEI SUN2000 200KTL H2 SUN2000 100KTL H1,HAUWEI | HAUWEI - SUN2000-200KTL-H2 | SUN2000-100KTL-H1,1,2500.0,0.004953144722995078,
SUN2000 250KTL H1,1304 - SUN2000-250KTL-H1,3,2500.0,0.004953144722995078,
SUN2000 215KTL H1 SIW500H ST100 HV,SUN2000-215KTL-H1/SIW500H ST100 HV,1,2500.0,0.004953144722995078,
SG250HX 1500V 1150 SG333HX,371 - SG250HX 1500V;1150 - SG333HX,1,2498.0,0.004949182207216682,
SANTERNO,Santerno ,109,2486.5499999999997,0.004926496804385365,
GROWATTGROWATT,GROWATTGROWATT,217,2458.48,0.004870882895435576,
SICES SOLAR,SICES SOLAR,142,2452.17,0.004858381158154737,
GOODWEE,GOODWEE,221,2448.7,0.004851506193279218,
SOLPANET,SOLPANET|,245,2446.07,0.004846295485030629,
BALFAR SOLAR,BALFAR SOLAR,107,2427.2,0.004808909148661461,
KEHUATECH,KEHUATECH,92,2418.14,0.004790958952185327,
DEYE GROWATT,DEYE  GROWATT,119,2410.41,0.004775643828701826,
ECORI,ECORI,63,2406.48,0.0047678574851972785,
BEDINSOLAR BEDINSOLAR,BEDINSOLAR; BEDINSOLAR,142,2403.79,0.004762527901475336,
ASW,ASW,133,2390.7,0.004736593235705733,
SG125HV,SG125HV	,4,2375.0,0.004705487486845324,
LONGI SOLAR,LONGI SOLAR,201,2367.15,0.00468993461241512,
HANERSUN,HANERSUN,373,2362.27,0.004680266073915833,
HUAWEI SUN2000 60KTL MO WEG SIW500H ST060,HUAWEI / SUN2000-60KTL-MO (WEG SIW500H ST060) +,11,2359.96,0.004675689368191786,
SOLIS GROWATT,SOLIS / GROWATT,75,2355.52,0.004666892583163746,
M2 2 25K S4,M2-2.25K-S4,299,2353.17,0.004662236627124131,
R5 8K S2 15,R5-8K-S2-15,282,2351.93,0.004659779867341525,
AFORE NEW ENERGY TECHNOLOGY,Afore New Energy Technology,5,2332.0,0.004620293397609809,
SUN M225G4 EU Q0,SUN-M225G4-EU-Q0,314,2305.55,0.004567889126440522,
INVERSOR FOX ESS MICRO INVERSOR,Inversor: FOX ESS; Micro Inversor:,334,2273.1,0.0045035973079360445,
KACO,KACO,17,2270.27,0.004497990348109614,
HELIUS,HELIUS,293,2253.03,0.0044638334620998405,
B BPOWER,B&BPOWER,376,2240.43,0.004438869612695945,
GOODWE WEG,GOODWE WEG,138,2215.86,0.00439019010635835,
2146826246,-2146826246,1,2146.82,0.004253404061688118,
AUSTA,AUSTA,301,2139.38,0.004238663502992484,
LEAPTON SOLAR,LEAPTON SOLAR,346,2138.45,0.00423682093315553,
SUN2000 75KTL M1,1432 - SUN2000-75KTL-M1,16,2100.0,0.004160641567315866,
SMA SUNNY,SMA SUNNY,90,2085.4,0.004131715202133574,
GOOD WE,GOOD WE,55,2073.38,0.004107900482305415,
WEG E HUAWEI,WEG e HUAWEI,25,2036.37,0.004034574127826195,
WDC SOLAR,WDC SOLAR,221,2034.36,0.004030591799468907,
SG75CX,773 - SG75CX,17,2025.0,0.004012047225626014,
5KTLM G3,5KTLM-G3,414,2011.96,0.003986211622750871,
HELTE,HELTE,246,2011.91,0.003986112559856411,
LR5 72HPH 540M,LR5-72HPH-540M,2,2000.0,0.003962515778396063,
SG333HX,1150 - SG333HX,2,1998.0,0.003958553262617666,
HYPON TECH,HYPON TECH,226,1949.31,0.003862085815992614,
DEYESUN,DEYESUN,117,1946.51,0.00385653829390286,
HUAWEII,Huaweii,73,1926.58,0.003817051824171143,
NHS,NHS,200,1914.84,0.0037937918565519578,
TECHPOWER,195 - TECHPOWER,359,1887.98,0.003740575269648099,
HYPONTEC,HYPONTEC,224,1886.03,0.003736711816764163,
BS 6K,1762 - BS-6K,302,1877.53,0.0037198711247059795,
QSOLAR,QSOLAR,144,1863.1299999999999,0.003691341011101528,
OSDA SOLAR,OSDA Solar,243,1859.85,0.003684842485224958,
SUNOVA SOLAR,SUNOVA SOLAR,268,1845.54,0.0036564906848305344,
SMA TECHNOLOGIE,SMA TECHNOLOGIE,138,1828.37,0.003622472486873004,
OUROLUX,Ourolux,210,1811.77,0.003589583605912317,
OUTROS,190 - OUTROS,94,1809.82,0.0035857201530283805,
GUANGZHOU SANJING X000D,Guangzhou Sanjing_x000D_,40,1809.11,0.00358431345992705,
ECO,ECO,26,1807.6,0.0035813217605143613,
GENERICO,GENÉRICO,29,1804.23,0.003574644921427764,
SOLAR ENERGY DO BRASIL,SOLAR ENERGY DO BRASIL,195,1803.17,0.003572544788065214,
SOFAR SOLIS,SOFAR|SOLIS,51,1799.66,0.003565590572874129,
1XFRONIUS,1XFRONIUS//,98,1796.64,0.003559607174048751,
APSYSTENS,APSYSTENS,303,1794.49,0.003555347469586975,
JA SOLAR HOLDINGS CO LTD,"JA Solar Holdings Co., Ltd.",256,1782.13,0.0035308591220764877,
GOOD WEE,Good Wee,4,1778.0,0.0035226765269940996,
SG110CX,292 - SG110CX,11,1753.0,0.003473145079764149,
GW250K HT,1098 - GW250K-HT,4,1750.0,0.003467201306096555,
MONO,MONO,236,1728.93,0.003425456202371152,
UNITECH PROJETOS PESQUISAS E DESOLVIMENTO,"27 - UNITECH PROJETOS, PESQUISAS E DESOLVIMENTO",111,1728.27,0.003424148572164282,
FRONIUS SOLIS,FRONIUS|SOLIS,55,1720.81,0.003409368388310864,
ARESWATT,ARESWATT,286,1713.52,0.0033949250182986105,
INVERSOR SOLARES,INVERSOR SOLARES,145,1710.02,0.0033879906156864177,
INVERSOR BELENERGY MICRO INVERSOR,Inversor: BELENERGY; Micro Inversor:,230,1710.0,0.0033879509905286333,
SOLIS SUNGROW,SOLIS| SUNGROW,22,1709.78,0.0033875151137930095,
ORIZON,ORIZON,190,1704.6299999999999,0.00337731163566364,
DEYER,DEYER,207,1702.25,0.0033725962418873485,
MAGNETEK,Magnetek ,114,1690.3700000000001,0.0033490588981636765,
AP SYSTEM,AP SYSTEM,286,1679.38,0.00332728487396139,
GEP,GEP,135,1677.94,0.0033244318626009448,
ABB GROWATT,ABB/ GROWATT,30,1673.51,0.0033156548901517972,
ZNSHINE,ZNSHINE,202,1665.49,0.0032997652018804296,
GPTECH,GPTech ,94,1643.48,0.0032561577157391806,
BELENERGY POWER,BELENERGY POWER,161,1639.67,0.003248609123181336,
HIPONTECH,HIPONTECH,251,1633.05,0.003235493195954845,
DELTA,DELTA,24,1609.7,0.003189230824242071,
INTISOL,INTISOL,3044,1609.02,0.0031878835688774164,
MIN 5000TL X,MIN 5000TL-X,317,1601.86,0.0031736977623907582,
ENSOLAR,ENSOLAR,217,1561.6,0.0030939323197716456,
SOFAR SOLAR GOODWE,SOFAR SOLAR GOODWE,9,1552.55,0.0030760019358744037,
APSYSEMS,APSYSEMS,240,1548.55,0.003068076904317611,
LUXEN,LUXEN,182,1546.66,0.003064332326907027,
LR4 72HPH,LR4-72HPH,6,1546.02,0.0030630643218579404,
SOLIS SOFAR,SOLIS SOFAR,30,1542.6,0.0030562884198768827,
BELNERGY,belnergy,60,1539.3100000000002,0.003049770081421422,
SOFAR GOODWE,SOFAR | GOODWE,6,1538.6399999999999,0.0030484426386356584,
1XSOLIS,1XSOLIS,59,1533.71,0.0030386750372419125,
HUAWEI TECHNOLOGIES CO LTD WEG,HUAWEI Technologies Co. Ltd. (WEG)	,43,1526.8,0.003024984545227554,
SUNGROW GROWATT,SUNGROW|GROWATT,57,1519.93,0.003011373303528764,
CPS SCA5KTL PSM1 EU,1950 - CPS SCA5KTL-PSM1/EU,307,1507.56,0.002986865143439384,
SUN,SUN,136,1507.35,0.0029864490792826525,
SMA BRASIL TECNOLOGIA FERROVIARIA E,22 - SMA BRASIL TECNOLOGIA FERROVIARIA E,59,1483.24,0.0029386809515740877,
1XRENOVIGI,1XRENOVIGI,51,1475.18,0.0029227120129871518,
KSG 32K LV,KSG-32K-LV,1,1464.0,0.0029005615497859176,
GROVATT,GROVATT,159,1449.95,0.0028727248764426855,
TSM,TSM,19,1441.54,0.0028560624975945297,
SUNGROWSUNGROW,SUNGROWSUNGROW,81,1438.79,0.002850614038399235,
SMA SUNNY HIGHPOWER,SMA Sunny Highpower,8,1435.33,0.00284375888610261,
GROWATT SUNGROW,"GROWATT, SUNGROW",47,1435.13,0.0028433626345247707,
ABB SUNGROW SUNGROW,ABB / SUNGROW / SUNGROW,2,1425.26,0.0028238076191583862,
SUNGROW SOLIS,SUNGROW |SOLIS,27,1419.92,0.002813227702030069,
FRIEM,Friem ,30,1418.79,0.0028109888806152747,
ELSYS SOLAR,ELSYS SOLAR,222,1400.72,0.0027751875505574665,
REFU ELEKTRONIC,REFU ELEKTRONIC,66,1388.8,0.002751570956518226,
MINASOL,MINASOL,231,1386.26,0.002746538561479663,
CIASOLAR,CiaSolar,143,1376.57,0.002727340172533334,
BELENERGY BELENERGY,BELENERGY | BELENERGY,71,1350.53,0.0026757482170986172,
C6 75K T12 LV 40,1680 - C6-75K-T12-LV-40,18,1350.0,0.0026746981504173423,
PROVISORIO,Provisório,4,1350.0,0.0026746981504173423,
S5 GR1P10K,S5-GR1P10K,115,1346.59,0.002667942061015177,
NTELBRAS,NTELBRAS,147,1334.58,0.0026441471537659083,
RENOGIVI,RENOGIVI,163,1333.74,0.0026424828971389823,
MIN 6000TL X,MIN 6000TL-X,218,1333.42,0.002641848894614439,
GROWATT SAJ,GROWATT|SAJ,77,1322.34,0.0026198965572021247,
FRONIUS DEYE,FRONIUS /DEYE,81,1321.32,0.0026178756741551427,
PHONO SOLAR,PHONO SOLAR,171,1307.77,0.0025910296297565094,
HOYMAILES,HOYMAILES|,136,1306.67,0.002588850246078392,
1XHUWAEI,1XHUWAEI,51,1300.1299999999999,0.0025758928194830363,
BS 5K,1735 - BS-5K,260,1299.96,0.002575556005641873,
RENESOLA,RENESOLA,172,1296.99,0.0025696716697109546,
INVERSOR STRING,Inversor String,52,1289.78,0.002555386800329837,
R5 6K S2,R5-6K-S2,219,1283.64,0.002543221876890161,
CS3U 355P,CS3U-355P,7,1281.74,0.002539457486900685,
S6 GR1P6K S,S6-GR1P6K-S,208,1280.96,0.00253791210574711,
HUEWAI,HUEWAI,14,1276.94,0.0025299474490325345,
WEG FOXESS,WEG - FOXESS,119,1270.59,0.0025173664614361263,
NEOSOLAR,NEOSOLAR,59,1263.1399999999999,0.002502606090161601,
XXXXXXXXXXXXXXXXXXXXXX,xxxxxxxxxxxxxxxxxxxxxx,17,1257.0,0.0024904411667219253,
SUN 5K G,SUN-5K-G,254,1250.05,0.0024766714243919987,
SONGROW,SONGROW,22,1232.74,0.002442375850329981,
S6 GR1P6K,S6-GR1P6K,199,1232.66,0.0024422173496988454,
WEG SOLIS,WEG SOLIS,27,1230.8600000000001,0.002438651085498289,
WEB,WEB,44,1224.28,0.0024256144085873657,
DMEGC,DMEGC,169,1206.65,0.0023906848320008047,
AAAA,AAAA,156,1200.51,0.0023785199085611286,
R6 15K T2 32 LV,R6-15K-T2-32-LV,73,1197.93,0.0023734082632069975,
CANIDIAN,CANIDIAN,8,1195.7,0.002368990058114086,
SUN2000 6KTL L1,SUN2000-6KTL-L1,190,1194.31,0.0023662361096481004,
3XFRONIUS,3XFRONIUS,17,1187.32,0.0023523871170026064,
NHS SOLAR,33 - NHS SOLAR,175,1181.88,0.0023416090740853695,
APSYSTEM S,APSYSTEM S,224,1176.14,0.0023302366538013727,
SUNGROWN,SUNGROWN,73,1174.67,0.002327324204704252,
RESUN,RESUN |,150,1170.31,0.002318685920307348,
BEL,BEL,178,1167.34,0.0023128015843764294,
1XHUWAEI SUN2000,1XHUWAEI SUN2000-,43,1167.14,0.0023124053327985904,
SMA SOLAR TECHNOLOGY AG,SMA SOLAR TECHNOLOGY AG,95,1166.76,0.002311652454800695,
SMA SUNNY TRIPOWER,SMA SUNNY TRIPOWER,17,1149.52,0.0022774955687909207,
SUNGORW,SUNGORW,85,1149.37,0.002277198380107541,
SCHNEIDER ELETRIC,Schneider Eletric,9,1122.15,0.0022232685403635708,
SOLAR EDGER,SOLAR EDGER,10,1122.1399999999999,0.0022232487277846786,
AUXOL,AUXOL,176,1121.15,0.0022212872824743726,
DEYE SAJ,DEYE-SAJ,68,1113.98,0.002207081663408823,
GODWEE,GODWEE,111,1111.27,0.002201712454529096,
SUN 8K G,SUN-8K-G,137,1103.3799999999999,0.0021860803297833234,
6KTLM G3,946 - 6KTLM-G3,185,1101.1,0.002181563061795952,
IMARS,iMARS,58,1095.22,0.002169913265407468,
SUN 6 6K G05 P1 EU AM2,SUN-6.6K-G05 P1-EU-AM2,163,1093.87,0.00216723856725705,
CPS SCA6KTL PSM1 EU,CPS SCA6KTL-PSM1/EU,183,1091.58,0.0021627014866907866,
GUANGZHOU SANJING,GUANGZHOU SANJING,46,1084.41,0.002148495867625237,
GROWATT FRONIUS,GROWATT | FRONIUS,37,1075.0,0.0021298522308878837,
JAM72S30 550 MR,JAM72S30-550/MR,66,1073.65,0.002127177532737466,
BEL ENERGY PLUS,BEL ENERGY PLUS,142,1071.66,0.0021232348295379625,
SUNGROW WEG,SUNGROW / WEG,20,1066.59,0.002113189852039728,
INVERSOR RENO,INVERSOR / RENO,73,1066.49,0.0021129917262508085,
CIA SOLAR,CIA SOLAR,146,1064.7,0.0021094452746291442,
GUANGZHOU SANJING ELECTRIC,GUANGZHOU SANJING ELECTRIC,38,1064.33,0.0021087122092101405,
SUNGROW ABB,SUNGROW/ABB,8,1054.24,0.0020887213171081323,
PULLING ENERGY,PULLING ENERGY,138,1051.72,0.0020837285472273532,
ENERMAC,ENERMAC,14,1050.0,0.002080320783657933,
RENOVIGI B B POWER SOLIS SOLIS 75K 5G,RENOVIGI/B&B Power/SOLIS Solis-75K-5G,14,1050.0,0.002080320783657933,
SUN 10K G,SUN-10K-G,98,1047.89,0.0020761403295117254,
SOLIS WEG,SOLIS |WEG,12,1046.48,0.0020733467558879557,
37,37,112,1045.8,0.0020719995005233013,
HYPPONTECH,HYPPONTECH,151,1045.39,0.00207118718478873,
R6 30K T4 32 LV,1030 - R6-30K-T4-32-LV,34,1033.54,0.002047709278801733,
SOLIS HOYMILES,"SOLIS, HOYMILES",60,1032.6100000000001,0.002045866708964779,
HMS 2000 4T,HMS-2000-4T,115,1027.93,0.0020365944220433322,
LIVOLTEC,LIVOLTEC,158,1014.7,0.0020103823801692422,
SAJ DEYE,SAJ DEYE,73,1009.17,0.001999426024041977,
SKY SOLLARIS,SKY SOLLARIS,30,1006.95,0.001995027631527958,
SUNUNO,Sununo,135,1006.94,0.0019950078189490657,
GOWATT NEW ENERGY,Gowatt New Energy,98,1003.89,0.0019889649823870118,
SIW200G M050 W1,SIW200G M050 W1,205,1003.1800000000001,0.001987558289285681,
R6 10K S3 18,R6-10K-S3-18,95,1002.99,0.0019871818502867336,
SOLFAR,SOLFAR,133,1000.76,0.0019827636451938218,
CS3U 355PSUNGROW,CS3U-355PSungrow,1,1000.0,0.0019812578891980313,
RSM110 8 545BMDG BIFACIALV,RSM110-8-545BMDG BIFACIALV,1,1000.0,0.0019812578891980313,
ONMINIK,ONMINIK,1,1000.0,0.0019812578891980313,
SUN2000 215KTL H3,SUN2000- 215KTL-H3,1,1000.0,0.0019812578891980313,
SG250HX 1500V,371 - SG250HX 1500V,1,1000.0,0.0019812578891980313,
SUNGROW DE 60KW HUAWEI WEG DE 100KW,Sungrow de 60kW Huawei/WEG de 100kW,1,1000.0,0.0019812578891980313,
250K EHV 5G,1302 - 250K-EHV-5G,1,1000.0,0.0019812578891980313,
545W STC,545W (STC),1,1000.0,0.0019812578891980313,
SIW500H ST100 HV,1307 - SIW500H ST100 HV,1,1000.0,0.0019812578891980313,
GROWATT KSTAR DEYE KSTAR,GROWATT/KSTAR/DEYE/KSTAR,1,998.0,0.001977295373419635,
SUNTRIO,SUNTRIO,34,996.04,0.001973412107956807,
PHONO,PHONO,136,995.63,0.001972599792222236,
HUAWEI GOODWE,HUAWEI / GOODWE,20,992.88,0.0019671513330269414,
REFULOG,REFUlog,130,990.35,0.0019621387505672702,
RENONIVI,RENONIVI,1,990.0,0.001961445310306051,
INGECON SUL,INGECON SUL,1,990.0,0.001961445310306051,
HELIA,HELIA,90,986.9,0.001955303410849537,
SHINEFAR,SHINEFAR,117,986.04,0.0019535995290648265,
SANGROW,SANGROW,107,984.59,0.0019507267051254897,
REFU,REFU,58,965.88,0.0019136573700185944,
SUNNY HIGHPOWER PEAK,278 - SUNNY HIGHPOWER PEAK,13,964.3199999999999,0.0019105666077114454,
SOLPLANT,SOLPLANT /,89,957.68,0.0018974110553271705,
BS 10K,951 - BS-10K,88,956.59,0.001895251484227945,
GRAWATT,GRAWATT,102,954.86,0.0018918239080796323,
INVERSOR WDC MICRO INVERSOR,Inversor: WDC; Micro Inversor:,179,951.42,0.0018850083809407907,
STT 50 KTL M 1195 STT 100 KTL,1194 - STT-50-KTL-M;1195 - STT-100-KTL,1,950.0,0.0018821949947381298,
HMS 2000DW 4T,HMS-2000DW-4T,133,948.26,0.0018787476060109249,
WEG SUNGROW,WEG / SUNGROW,27,944.9,0.0018720905795032198,
R5 5K S2,R5 5K-S2,197,939.74,0.0018618672887949581,
S6 GR1P5K S,S6-GR1P5K-S,188,938.12,0.0018586576510144569,
POWER ELECTRONICS,Power Electronics ,89,930.62,0.001843798216845472,
SOPLANET,SOPLANET,86,928.69,0.0018399743891193197,
SE75K,SE75K,12,928.3199999999999,0.0018392413237003163,
WEG E 29 HUAWEI,17 - WEG e 29 - HUAWEI,2,927.0,0.001836626063286575,
DEYE WEG,DEYE / WEG,37,925.88,0.0018344070544506733,
SE100K,SE100K,2,921.8,0.0018263235222627451,
SOLPLANETSOLPLANET,SOLPLANETSOLPLANET,108,920.18,0.001823113884482244,
GROWALT,GROWALT,61,915.54,0.0018139208478763656,
SUNERGY,SUNERGY,128,911.83,0.001806570381107441,
ABS,ABS,2,909.75,0.001802449364697909,
DEYE HOYMILES,DEYE|HOYMILES,101,901.53,0.001786163424848701,
